Project Title,Type of Research,Project Description,Relevant Links,Key Words
NIH - National Center for Complementary and Integrative Health (NCCIH),,"Applications will be accepted on a rolling basis through October 06, 2020.
National Center for Complementary and Integrative Health (NCCIH): is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the 2019 Novel Coronavirus (2019-nCoV, also known as COVID-19). Topics of specific interest for this NOSI include research on stress management strategies, including mind and body approaches, that individuals may engage in remotely to address stressors related to social distancing, as well as to address recovery and recurrence of symptoms during and after COVID-19 infections. To better understand the impact of stress management strategies in the context of the COVID-19 pandemic, NCCIH is encouraging the submission of applications for Administrative Supplements or Competitive Revisions to active grants. Applicants should propose research that can be completed remotely, without any in-person contact between study staff and research participants. Interventions proposed for study should already be fully developed and ready for immediate testing. For the areas of research interest please see notice.",https://grants.nih.gov/grants/guide/notice-files/not-at-20-011.html,Technology and Computer Science
NIH - National Institute of Allergy and Infectious Diseases (NIAID),,Support the use of Collaborative Cross (CC) mouse lines to advance understanding of the host genetics involved in immune regulation and function and to further develop CC mouse lines that more faithfully reproduce human immune responses.,https://grants.nih.gov/grants/guide/pa-files/PAR-18-781.html,Technology and Computer Science
NIH - National Institute of Allergy and Infectious Diseases (NIAID),,"Applications will be accepted on a rolling basis, beginning on 04/30/2020.
The purpose of this Funding Opportunity Announcement (FOA) is to provide an expedited funding mechanism for research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and/or Coronavirus Disease 2019 (COVID-19). NIAID is issuing this FOA in response to the declared public health emergency issued by the Secretary, HHS, for 2019 Novel Coronavirus (COVID-19). See guidelines for areas of high priority.",https://grants.nih.gov/grants/guide/pa-files/PAR-20-177.html,Technology and Computer Science
NIH - National Institute of Allergy and Infectious Diseases (NIAID),,"Applications will be accepted on a rolling basis 07/02/2020 to 07/02/2021.
National Institute of Allergy and Infectious Diseases (NIAID) is issuing this Notice of Special Interest (NOSI) to highlight very specific and limited needs for Competitive Revision applications (PA-20-135) to active NIAID grants in order to further build the infrastructure that NIAID needs to support the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19) research response. This NOSI replaces NOT-AI-20-034 which was rescinded with this issuance of this Notice. See guidelines for research objectives.",https://grants.nih.gov/grants/guide/notice-files/NOT-AI-20-059.html,Technology and Computer Science
NIH - National Institute of Biomedical Imaging and Bioengineering (NIBIB),,"Applications will be accepted on a rolling basis through March 30, 2021.
The National Institute of Biomedical Imaging and Bioengineering (NIBIB) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for accelerating the development, translation, and commercialization of technologies to address Coronavirus Disease 2019 (COVID-19). The NIBIB is seeking applications from current grantees to develop life-saving technologies that can be ready for commercialization within one to two years. Please see notice for examples of technologies. R01 - PA-19-056 - NIH Research Project Grant (Parent R01 Clinical Trial Not Allowed) - 1st Due Date - June 5, 2020 R01 - PA-18-418 - NIBIB Research Project Grant (R01 Clinical Trial Required) - 1st Due Date - June 5, 2020 R01 - PAR-18-530 - Academic-Industrial Partnerships for Translation of Technologies for Diagnosis &Treatment (R01-Clinical Trial Optional) - 1st Due Date - June 5, 2020 R01 - PAR-20-155 - Academic-Industrial Partnerships (AIP) to Translate and Validate In Vivo Imaging Systems (R01 Clinical Trial Optional) - 1st Due Date - June 5, 2020 R21 - PAR-20-084 - NIBIB Trailblazer Award for New and Early Stage Investigators (R21 Clinical Trial Optional) - 1st Due Date - June 16, 2020 R21 - PAR-18-433 - NIBIB Exploratory/Developmental Research Grant Program (R21 Clinical Trial Optional) - 1st Due Date - June 16, 2020 R03 - PA-19-052 - NIH Small Research Grant Program (Parent R03 Clinical Trial Not Allowed) - 1st Due Date - June 16, 2020",https://grants.nih.gov/grants/guide/notice-files/not-eb-20-007.html,Technology and Computer Science
NIH - National Institute of Environmental Health Sciences (NIEHS),,"Applications will be accepted on a rolling basis through May 4, 2021.
National Institute of Environmental Health Sciences (NIEHS) seeks to promote rapid understanding of the potential contributions of current and past exposure to environmental agents that may exacerbate COVID-19 susceptibility, disease severity, and progression. Examples of environmental exposures relevant to the NIEHS mission include: toxic chemicals, air pollutants, second hand tobacco smoke, e-cigarette vapors, metals, and other environmental chemical exposures that may impact health outcomes. In addition, some health outcomes that are linked to environmental exposures (asthma, diabetes, and other pulmonary, cardiovascular, and metabolic diseases) are also risk factors for COVID-19. NIEHS is accepting applications addressing COVID-19 through the administrative supplement (PA-18-591), urgent competitive revision (PA-18-935), and time-sensitive mechanisms (RFA-ES-19-011).",https://grants.nih.gov/grants/guide/notice-files/not-es-20-020.html,Technology and Computer Science
NIH - National Institute of Health,,"Call for prototypes for testing and clinical review. This website accepts designs that are created to support the manufacturing of personal protective equipment (PPE) or other necessary medical devices that are in short supply due to the COVID-19 outbreak. While many can be printed with a 3D printer at home or your local Maker space, the National Institute of Health (NIH), Food and Drug Administration (FDA), Veterans Affairs (VA), America Makes, and the contributing creators cannot ensure the quality, safety, and efficacy of these designs when manufactured without proper quality controls and processes. This collection represents a coordinated effort among the FDA, VA, and America Makes to connect healthcare providers and 3D printing organizations.",https://3dprint.nih.gov/collections/covid-19-response,Other
NIH - National Institute of Health,,"Applicant organizations may submit more than one application, provided that each application is scientifically distinct.
The NIH Director's Transformative Research Award Program supports collaborative investigative teams or individual scientists who propose unusually innovative research projects. For this FOA, the project should have the potential to have a broad impact on SARS-Cov-2 prevention, preparation, or response. To be considered transformative, projects must have the potential to create or overturn fundamental scientific paradigms through novel concepts or perspectives, transform the way research is conducted through the development of novel tools or technologies, or lead to major improvements through the development of highly innovative diagnostic, therapeutic, or preventive strategies. Consistent with this focus, Transformative Research Award applications should propose research substantially different from current mainstream research.",https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-20-020.html,Other
NIH - National Institute of Health - Muliple divisions,,"This FOA has multiple due dates: August 20, 2020, December 2, 2020, March 2, 2021
This Funding Opportunity Announcement (FOA) aims to support research to strengthen the healthcare response to Coronavirus Disease 2019 (COVID-19) caused by the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and future public health emergencies, including pandemics. While research related to the direct clinical effects of COVID-19 are supported by other funding opportunities, the purpose of this funding opportunity is to focus on the role and impact of digital health interventions [e.g., mobile health (mhealth), telemedicine and telehealth, health information technology (IT), and wearable devices] to address access, reach, delivery, effectiveness, scalability and sustainability of health assessments and interventions for secondary effects (e.g., behavioral health or self-management of chronic conditions) that are utilized during and following the pandemic, particularly in populations who experience health disparities and vulnerable populations.",https://grants.nih.gov/grants/guide/pa-files/PAR-20-243.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"The letter of intent due date is September 04, 2020. The first standard due date for this FOA is October 5, 2020.
The purpose of this Funding Opportunity Announcement (FOA) is to support investigative and collaborative research focused on understanding the long-term effects of natural and/or human-made disasters on health care systems serving health disparity populations in communities in the U.S., including the U.S. territories. NIH-designated health disparity populations include racial and ethnic minorities (Blacks/African Americans, Hispanics/Latinos, American Indians/Alaska Natives, Asians, Native Hawaiians and other Pacific Islanders), sexual and gender minorities, socioeconomically disadvantaged populations, and underserved rural populations.",https://grants.nih.gov/grants/guide/pa-files/PA-20-172.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"Applications may be submitted July 13, 2020, November 12, 2020, March 12, 2021, and July 12, 2021.
NIH is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19) in individuals with Down syndrome in conjunction with the INCLUDE (INvestigation of Co-occurring conditions across the Lifespan to Understand Down syndromE) Project. Because many people with Down syndrome are at increased risk of having co-occurring medical conditions, such as pulmonary disease, cardiac problems, obesity, diabetes, sleep apnea, and altered immune function that may predispose them to more severe infection with SARS-CoV-2, they may be particularly vulnerable to COVID-19 complications. Combined with shared living situations, and reduced access to testing and treatment services due to disparities in provision of resources, the impact of COVID-19 infection in people with Down syndrome is likely to be elevated. The overarching goal of this NOSI is to improve understanding and treatment of COVID-19 infection in individuals with Down syndrome and reduce COVID-19 associated morbidity and mortality for this population, which may be disproportionately affected by, have higher infection rates of, and/or be at elevated risk for adverse outcomes from contracting the virus.",https://grants.nih.gov/grants/guide/notice-files/not-od-20-129.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"Applications will be accepted on a rolling basis from June 10, 2020 through December 15, 2020.
The COVID-19 pandemic and its associated mitigation strategies are expected to have significant psychosocial, behavioral, and socioeconomic impacts on health, which are exacerbated in populations that experience health disparities and other vulnerable groups, leading to disproportionately adverse consequences. Those experiencing health disparities prior to the COVID-19 pandemic are at increased risk of infection and other COVID-19 related consequences (e.g., job loss, unpaid leave, lost wages). Research is needed to test community interventions focused on the prevention (or slowing) of COVID-19 transmission, evaluate local and state policies and programs intended to mitigate COVID-19 exposure and improve adherence, and reduce the negative impact of the multifaceted consequences on the health of populations who experience health disparities and other vulnerable groups. This work may includeleveraging and scaling existing resources (e.g., health education materials, technology, social media, mass media, social support networks, social services). In domains and populations in which the evidence base is limited, the development, testing, and implementation of novel or adapted interventions to address the negative health consequences of the COVID-19 pandemic (including the unintended health consequences of population-level interventions) may also be needed to address the unique needs of populations. See guidelines for research objectives.",https://grants.nih.gov/grants/guide/notice-files/not-md-20-022.html,Other
NIH - National Institute of Health - Muliple divisions,,"Applications will be accepted on a rolling basis from June 10, 2020 through December 15, 2020.
This Notice of Special Interest (NOSI) highlights interest in research to strengthen the healthcare response to Coronavirus Disease 2019 (COVID-19) caused by the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and to future public health emergencies, including pandemics. While the direct clinical effects of COVID-19 are supported by other funding opportunities, the purpose of this NOSI is to support research to address secondary health effects of the social, behavioral, and economic changes, particularly among populations who experience health disparities and vulnerable populations through the use of digital health assessments and interventions to yield measurable near-term impact. In order to significantly improve near term impact of treatment and identification of individuals at risk for, or experiencing worsening health secondary to the COVID-19 pandemic across the full lifespan, supplements will focus particularly on NIH-designated health disparity (racial/ethnic minorities, less privileged socioeconomic status, rural residents and sexual and gender minorities) and other populations with medical or social vulnerabilities. The latter include residents of chronic care facilities, community-dwelling older adults, pregnant women, children, individuals with cognitive impairment or dementia, homeless, and those incarcerated or involved with the criminal justice system, individuals with substance use disorder or severe mental illness, those who are deaf or with visual, hearing, communication, or mobility impairment, and uninsured individuals. See guidelines for research objectives.",https://grants.nih.gov/grants/guide/notice-files/not-mh-20-053.html,Other
NIH - National Institute of Health - Muliple divisions,,"Applications may be submitted beginning on July 8, 2020 for the Application Due Date on August 7, 2020.
This Notice of Special Interest (NOSI) highlights the urgent need to understand and address COVID-19 morbidity and mortality disparities among underserved and vulnerable populations across the United States. These two-year community-engaged Testing Research Projects will examine SARS-CoV-2 infection patterns and efforts to increase access and effectiveness of diagnostic methods through the Rapid Acceleration of Diagnostics for Underserved Populations (RADx-UP) initiative. The overarching goal is to understand factors that have led to disproportionate burden of the pandemic on these underserved populations so that interventions can be implemented to decrease these disparities.",https://grants.nih.gov/grants/guide/notice-files/NOT-OD-20-121.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"There are various due dates for the different award types. Check the solicitation for specific due dates.
The National Institutes of Health (NIH) hereby notify Principal Investigators holding specific types of NIH research grants, listed in the full Funding Opportunity Announcement (FOA) that funds may be available for competitive revisions to meet immediate needs to help address a specific public health crisis in a timely manner, but that were unforeseen when the new or renewal application or grant progress report for non-competing continuation support was submitted. Applications for Urgent Competitive Revisions will be routed directly to the NIH awarding component listed on the NoA of the most recent parent award.",https://grants.nih.gov/grants/guide/pa-files/PA-18-935.html,Technology and Computer Science
NIH - National Institute on Deafness and Other Communication Disorders (NIDCD),,"This notice applies to due dates on or after October 5, 2020 and subsequent receipt dates through September 8, 2022.
Coronavirus Disease 2019 (COVID-19) is a recently emerged human disease caused by the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2). There is a paucity of data on the impact of SARS-CoV-2 on the sensory and communicative functions within the scientific mission areas of NIDCD. NIDCD invites applications for research on COVID-19 in relation to NIDCD’s scientific programs of hearing, balance, taste, smell, voice, speech and language (HBTSVSL). Given the early stage of COVID-19 research, it is critical that there is a strong premise for research proposals submitted in response to this NOSI. When appropriate, NIDCD encourages multi-disciplinary approaches to move the research beyond in vitro and animal models. See guidelines for areas of research.",https://grants.nih.gov/grants/guide/notice-files/not-dc-20-008.html,Technology and Computer Science
"NIH - Office of The Director, National Institutes of Health (OD)",,"Estimated Publication Date of Funding Opportunity Announcement: July 17-31, 2020; First Estimated Application Due Date: September 2020
The purpose of this Notice is to alert the community that NIH plans to publish multiple Funding Opportunity Announcements (FOAs) as part of the Rapid Acceleration of Diagnostics - Radical (RADx-rad) initiative to support new, non-traditional approaches and new or non-traditional applications of existing approaches addressing current gaps in COVID-19 testing. The FOAs are expected to be published throughout July, and we will accept applications September 2020 for FY21 funding. The FOAs will be Requests for Applications (RFAs) for various grant mechanisms and Notices of Special Interest (NOSIs) for competitive revisions. The goal is to make awards by December 2020. This Notice is being provided to allow potential applicants additional time to develop responsive applications.",https://grants.nih.gov/grants/guide/notice-files/NOT-OD-20-144.html,Technology and Computer Science
National Science Foundation (NSF),,"With this Dear Colleague Letter (DCL), we highlight the interest of existing programs in the Directorate for Biological Sciences (BIO) and the Directorate for Engineering (ENG) in interdisciplinary research for the development of novel biological platforms that are capable of sensing and responding to emerging infectious agents. The mechanism of sensing should be adaptable and or evolvable such that the sentinel cells, or other appropriate biotechnology solutions, are robust to a range of emergent threats, and/or can easily be reprogrammed and deployed once a new threat is identified. The platform's response should be one or more of the following: alert the user, destroy the threat, protect the host, initiate an immune response or other strategies that would ensure mitigation of the threat. Sentinel cells and organisms that detect and respond to infectious agents with expanding footprints in a host population or expanding host ranges are of particular interest, as the early detection of these infectious agents might have value in preventing future pandemics. In addition, fundamental science and technology that would lead to the development of the envisioned sentinel cells and organisms are also of interest. Investigators are encouraged not to be limited in their approach, but to think broadly about innovations leveraging biology and engineering to advance adaptable detection of emerging biological threats.",https://www.nsf.gov/pubs/2020/nsf20105/nsf20105.jsp,Other
National Science Foundation (NSF),,"With this Dear Colleague Letter (DCL), the National Science Foundation (NSF) wishes to notify the community that research projects focused on pandemics are considered appropriate for the Civic Innovation Challenge (CIVIC; NSF 20-562), a research and action competition in the smart and connected communities (S&CC) domain. CIVIC is organized as a two-stage competition with two tracks. One track is centered onresilience to natural disasters and calls for research that equips communities with greater preparedness and resilience to natural disasters. The other track is centered on communities and mobility and calls for research that addresses better mobility options to solve the spatial mismatch between housing affordability and jobs, as well as associated mobility solutions thatcan increase access to critical services and amenities that foster healthy and thriving communities. While CIVIC was planned long in advance of the novel coronavirus 2019 (COVID-19) outbreak, today the world is focused on this pandemic. Given this reality, NSF is notifying the community of its interest in pandemics as an example of a disaster pursuant to the resilience track or as a possible consideration in framing the focus of the mobility track.",https://www.nsf.gov/pubs/2020/nsf20100/nsf20100.pdf,Technology and Computer Science
National Science Foundation (NSF) - Binational Science Foundation (BSF),,"These programs have no deadline; applications are welcomed until further notice. Israeli PIs must submit their proposal to the BSF within seven days after the U.S. PI submits to the NSF.
Call for Proposals in Joint NSF-BSF Programs Dealing with the Coronavirus Disease. The U.S.-Israel Binational Science Foundation (BSF) is accepting applications dealing with the Coronavirus Disease in all the active NSF-BSF programs.",https://www.bsf.org.il/funding-opportunities/nsf-bsf-joint-research-grants/the-programs/,Biomedical
Robert Wood Johnson Foundation,,"The submission deadline is August 05, 2020 at 3:00 pm ET. One page letter of intent is due 7/20/2020.
The need to identify successful system alignment strategies has become increasingly urgent in the wake of the SARS-CoV-2 virus pandemic that causes COVID-19. This pandemic places people with unmet health and social needs at heightened risk of infection and complications, while propagating unmet needs through job losses, school and business closures, occupational risks, and social distancing policies. This call for proposals (CFP) will provide supplemental research funding to teams that are already engaged in the study of a promising system alignment mechanism, with the objective of learning how this mechanism performs in addressing health and social needs during the COVID-19 pandemic. Eligible teams must have an active or recently completed research study (within 12 months of application submission) that can be extended through the use of supplemental research funding. This CFP is appropriate for studying an existing system alignment mechanism implemented prior to the arrival of the COVID-19 pandemic, and about which some pre-COVID evidence has already been created by the applicant. Studies funded through the S4A program must test a specific system alignment mechanism that engages all three of the sectors referenced in this call—medical care, public health, and social services.",https://www.rwjf.org/content/rwjf/en/library/funding-opportunities/2020/systems-for-action-supplemental-research-on-covid19-response-and-recovery.html?rid=0034400001rm31WAAQ&et_cid=2134003,Technology and Computer Science
Social Science Research Council (SSRC),,"The Social Science Research Council (SSRC), as part of its Just Tech program, seeks proposals from across the social sciences and related fields that address the risks, opportunities, and challenges posed by public health surveillance stemming from the Covid-19 pandemic. We specifically encourage proposals that interrogate the role the public and private sectors may play in mitigating or exacerbating the health crisis, the effects of which are already unevenly distributed.",https://covid19research.ssrc.org/rapid-response-grants-on-covid-19-and-the-social-sciences/,Technology and Computer Science
