Project Title,Source,Relevant Links,Project Description
NIH - National Institute of Health - Muliple divisions,Virginia Tech,https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-20-021.html,"Letter of intent is due 07/08/2020, but not required. Only one application per institution is allowed. Please indicate interest in the VT Limited Submission System.
NIH is issuing this FOA in response to the declared public health emergency issued by the Secretary, HHS, for 2019 Novel Coronavirus (COVID-19). This emergency cooperative agreement funding opportunity announcement (FOA) from the National Institutes of Health (NIH) provides an expedited funding mechanism as part of the Rapid Acceleration of Diagnostics-Underserved Populations (RADx-UP) initiative, a consortium of community-engaged research projects to understand factors that have led to disproportionate burden of the pandemic on the underserved and/or vulnerable populations so that interventions can be implemented to decrease these disparities. This FOA seeks to fund a single Coordination and Data Collection Center (CDCC) as an integral part of the consortium."
NIH - National Institute of Health - Muliple divisions,Virginia Tech,https://grants.nih.gov/grants/guide/pa-files/PAR-20-237.html,"Applications will be accepted on a rolling basis through March 31, 2021.
The following Institute/Centers :Office of Behavioral and Social Sciences Research (OBSSR), National Heart, Lung, and Blood Institute (NHLBI), National Institute on Aging (NIA), National Institute on Alcohol Abuse and Alcoholism (NIAAA), National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), National Institute of Environmental Health Sciences (NIEHS), National Center for Complementary and Integrative Health (NCCIH) are encouraging the submission of applications for either Administrative Supplements (PA-18-591) or Competitive Revisions (PA-18-935) to active grants. This Notice of Special Interest (NOSI) highlights the urgent need for social, behavioral, economic, health communication, and epidemiologic research relevant to the 2019 Novel Coronavirus (SARS-CoV-2) and COVID-19. This NOSI encourages urgent competitive supplements and administrative supplements to existing longitudinal studies that address key social and behavioral questions related to the COVID-19 pandemic, including adherence to and transmission mitigation from various containment and mitigation efforts; social, behavioral, and economic impacts from these containment and mitigation efforts; and downstream health impacts resulting from these social, behavioral, and economic impacts,including differences in risk and resiliency based on gender, race and ethnicity, socioeconomic status, and other social determinants of health."
NIH - National Institute of Health - Muliple divisions,Virginia Tech,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-20-013.html,"Applications may be submitted beginning on July 8, 2020 for Application Due Dates of August 7, 2020 OR September 8, 2020. Applications received after September 8, 2020 will not be considered.
This Notice of Special Interest (NOSI) highlights the urgent need to understand the social, ethical, and behavioral implications (SEBI) of COVID-19 testing among underserved and/or vulnerable populations across the United States through the Rapid Acceleration of Diagnostics for Underserved Populations (RADx-UP) initiative. The overarching goal is to understand factors that have led to disproportionate burden of the pandemic on these underserved populations so that interventions can be implemented to decrease these disparities."
NIH - National Institute of Health - Muliple divisions,Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/not-od-20-097.html,"Applications will be accepted on a rolling basis from May 01, 2020 through May 01, 2021.
The National Institute on Minority Health and Health Disparities (NIMHD) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the impact of the novel Coronavirus (SARS-CoV-2) pandemic causing COVID-19 disease outbreaks and the resulting disruptions on individual and social wellbeing, health services use, and health outcomes for NIH-designated health disparity populations.The National Institute of Mental Health (NIMH) will accept and consider support for applications for supplements and revisions to NIMH projects that fall within the scope of this announcement and are relevant to the mission and strategic priorities of the NIMH. Applications to examine how a disrupted workforce may adequately respond/adapt to and maintain services or provide additional care for new or worsening mental health needs where we anticipate health disparities will be most prominent will be seen as a high priority. The National Institute on Aging (NIA) will accept applications for supplements and revisions to NIA-supported projects that fall within the scope of this announcement and are relevant to the mission and strategic priorities of the NIA. Applications are encouraged that address the specific needs and circumstances of midlife and older adults, including, but not limited to, individuals with Mild Cognitive Impairment (MCI), Alzheimer's disease and Alzheimer's disease related dementias (AD/ADRD) and their healthcare providers and caregivers."
NIH - National Institute of Health - Muliple divisions,Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-20-119.html,"Applications may be submitted beginning on July 8, 2020 for Application Due Dates of August 7, 2020 OR September 8, 2020. Applications received after September 8, 2020 will not be considered.
This Notice of Special Interest (NOSI) highlights the urgent need to understand and address COVID-19 morbidity and mortality disparities among underserved and vulnerable populations across the United States. These two-year community-engaged Testing Research Projects will examine SARS-CoV-2 infection patterns and efforts to increase access and effectiveness of diagnostic methods through the Rapid Acceleration of Diagnostics for Underserved Populations (RADx-UP) initiative. The overarching goal is to understand factors that have led to disproportionate burden of the pandemic on these underserved populations so that interventions can be implemented to decrease these disparities."
NIH - National Institute of Health - Muliple divisions,Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/NOT-MD-20-019.html,"Applications will be accepted on a rolling basis from April 6, 2020 through May 1, 2021.
National Institute on Aging (NIA) is encouraging the submission of applications for either Administrative Supplements (PA-18-591) or Competitive Revisions (PA-18-935) to active grants to address the following research areas of interest: Division of Aging Biology, Division of Neuroscience, Division of Geriatrics and Clinical Gerontology, Division of Behavioral and Social Research. The National Institute of Mental Health (NIMH) will accept and consider support for applications for supplements and revisions to NIMH projects that fall within the scope of this announcement and are relevant to the mission and strategic priorities of the NIMH. Applications to examine how a disrupted workforce may adequately respond/adapt to and maintain services or provide additional care for new or worsening mental health needs and/or suicide risk in midlife and older age adults will be seen as a high priority."
NIH - National Institute on Drug Abuse (NIDA),Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-20-120.html,"Applications will be accepted on a rolling basis through March 31, 2021.
National Institute on Drug Abuse (NIDA) is encouraging the submission of applications for either Administrative Supplements (PA-18-591) or Competitive Revisions (PA-18-935) to active grants to address research collecting and examining data on the risks and outcomes for COVID-19 infection in individuals suffering from substance use disorders."
National Aeronautics and Space Administration (NASA),Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-20-022.html,"Applications will be accepted on a rolling basis through March 29, 2021.
Current Principal investigators within NASA's Earth Science Division (ESD) Research and Analysis (R&A), Applied Sciences Program (ASP), and Earth Science Data Systems Program (ESDS) have begun to reach out to their program managers to explore and/or ask about the possibility of redirecting existing efforts and/or requesting additional support to utilize NASA products to address the environmental, economic, and/or societal impacts of the COVID-19 pandemic. Relative to potential requests for new and/or additional support, NASA's Earth Science Division (ESD) would like to call the attention of the Earth Science research, applications, and data systems communities to Program Element A.28 ""Rapid Response and Novel Research in Earth Science"" (RRNES) of Research Opportunities in Space and Earth Sciences (ROSES) 2020 as an opportunity to propose investigations making innovative use of NASA satellite data to address regional-to-global environmental, economic, and/or societal impacts of the COVID-19 pandemic."
Oak Ridge National Laboratory (ORNL),Virginia Tech,https://grants.nih.gov/grants/guide/pa-files/PAR-20-234.html,"The Department of Energy Basic Energy Sciences advanced neutron sources will provide remote rapid access to advanced user facilities to support research into the COVID-19 virus and the search for effective diagnostics and therapies. Facilities that will be made available at the Spallation Neutron Source (SNS) and High Flux Isotope Reactor (HFIR) at Oak Ridge National Laboratory (ORNL), include neutron macromolecular crystallography, small-angle scattering, reflectometry, spectroscopy and imaging beamlines. All users must be registered and their home institution must have an active User Agreement. Faculty should contact ospcontracts@vt.edu for assistance if they wish to request access. No need to enter the request in Summit."
Russell Sage Foundation,Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-20-047.html,"For its August 5, 2020 deadline, RSF will only accept letters of inquiry relevant to one of RSF’s core programs - see description.
The Russell Sage Foundation (RSF) has long supported social science research with the aim of improving social and living conditions in the United States.  In response to the crises of 2020, the foundation is dedicating its next funding cycle exclusively to research that seeks to improve our understanding of these extraordinary times. The severe consequences of the Covid19-pandemic, including its economic disruptions, and the recent mass protests to combat systemic racial inequality in policing and other institutions have reaffirmed the importance of social science research examining economic, political, racial, ethnic, generational, and social inequalities relevant to public policy and social change. For its August 5, 2020 deadline, RSF will only accept letters of inquiry relevant to one of RSF’s core programs that address at least one of the following issues: 1)Research on the Covid-19 pandemic and the resulting recession in the U.S. and 2) Research focused on systemic racial inequality and/or the recent mass protests in the U.S."
Argonne National Laboratory (ANL),Virginia Tech,https://nspires.nasaprs.com/external/viewrepositorydocument/cmdocumentid=742447/solicitationId=%7B3F3DFBFB-8FEE-F317-63FD-CB84ECA833EC%7D/viewSolicitationDocument=1/RRNES_NSPIRES%20note_v4.pdf,"The Advance Photon Source continues to operate, providing expedited, remote access but only for research related to COVID-19 at this time. The Structural Biology Portal lists available APS beamlines for macromolecular crystallography and BioSAXS. Step-by-step instructions on how to apply for expedited beam time are listed on the New User Checklist. All users must be registered and their home institution must have an active User Agreement. Faculty should contact ospcontracts@vt.edu for assistance if they wish to request access. No need to enter the request in Summit."
Brookhaven National Laboratory (BNL),Virginia Tech,https://www.nsf.gov/pubs/2020/nsf20065/nsf20065.jsp?org=NSF,The Center for Biomolecular Structure team is supporting remote macromolecular crystallography experiments at Beamlines 17-ID-1 (AMX) and 17-ID-2 (FMX) for research projects related to COVID-19. All users must be registered and their home institution must have an active User Agreement. Faculty should contact ospcontracts@vt.edu for assistance if they wish to request access. No need to enter the request in Summit.
Department of Energy (DOE),Virginia Tech,https://www.nsf.gov/pubs/2020/nsf20055/nsf20055.jsp,"Department of Energy (DOE) has unique capabilities that the scientific community may leverage for the COVID-19 response and recovery. The Department encourages you to consider scientific questions that underpin COVID-19 response and that the research community may answer using DOE user facilities, computational resources, and enabling infrastructure. Please send research questions that the scientific community may address with DOE resources by email to SC.DCL@ science.doe.gov"
Extreme Science and Engineering Discovery Environment (XSEDE),Virginia Tech,https://neutrons.ornl.gov/covid-19,"No specific due date for submission. XSEDE will be reviewing the applications on a continous basis.
To request access to resources of the COVID-19 HPC Consortium, you must prepare a description, no longer than three pages, of your proposed work. To ensure your request is directed to the appropriate resource(s), your description should include the following sections."
Food and Drug Administration (FDA),Virginia Tech,https://www.russellsage.org/how-to-apply/application-deadlines,"Applications will be reviewed on a rolling basis through 9/24/2020.
A research opportunity is currently available with the Division of Plasma Protein Therapeutics (DPPT), in the Office of Tissues and Advanced Therapies (OTAT), at the Center for Biologics Evaluation and Research (CBER), Food and Drug Administration (FDA) located in Silver Spring, Maryland. The recent emergence of SARS-CoV-2, the causative agent of COVID-19, has sparked a global search for effective therapies and a vaccine. DPPT has a research opportunity for a recent graduate in computational biology /bioinformatics / computer science to be involved with a project related to COVID-19. The project focuses on using computational models to predict efficacy of novel drugs and biologics, including neutralizing antibodies, against SARS-CoV-2. The project also has a focus on vaccine design through sequence deoptimization. This will involve the use of existing bioinformatics pipelines and development of novel computational tools."
Health Effects Institute (HEI),Virginia Tech,https://www.aps.anl.gov/Users-Information/covid19/proposal,"Mandatory letter of intent (LOI) due June 8th. Applicants will be informed whether or not to submit a full application by early July. HEI may contact the applicant to advise him or her about how to make the application more responsive to the specific objectives of the RFA.
Request for Applications 20-1B solicits applications for research on novel and important aspects of the intersection of exposure to air pollution and COVID-19 health outcomes. Applicants will be asked to submit a detailed letter of intent, followed by an invited full application, using an expedited application review process. HEI is particularly interested in applications that address the following questions: (1) Accountability research: What are the effects of the unprecedented interventions taken to control the COVID-19 pandemic on emissions, air pollution, and human health? (2) Susceptibility factors: Are individuals/populations who have been chronically or acutely exposed to higher levels of air pollution at greater risk of mortality from COVID-19 compared to those exposed to lower levels of air pollution? Do the effects differ by race/ethnicity or by measures of socioeconomic status?"
Mozilla,Virginia Tech,https://www.bnl.gov/ps/,"Applications will be reviewed on a rolling basis.
Mozilla will provide awards of up to $50,000 each to open source technology projects which are responding to the COVID-19 pandemic in some way. As part of the COVID-19 Solutions Fund, we will accept applications that are hardware (e.g., an open source ventilator), software (e.g., a platform that connects hospitals with people who have 3D printers who can print parts for that open source ventilator), as well as software that solves for secondary effects of COVID-19 (e.g., a browser plugin that combats COVID related misinformation)."
NIH - National Center for Advancing Translational Sciences (NCATS),Virginia Tech,https://science.osti.gov/-/media/sc-1/pdf/COVID-19-letter.pdf?la=en&hash=2A142317F56F185FC3E2CEF0AEAD6CACB3E70C7F,"Applications will be accepted on a rolling basis from May 15, 2020 to January 25, 2022.
National Center for Advancing Translational Sciences (NCATS) is encouraging the submission of applications for Administrative Supplements (PA-18-591). NCATS is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the COVID-19. NCATS is especially interested in research in the use of microphysiological systems or tissue chips in collecting and examining data on the risks and outcomes for COVID-19 infection, and advance the translation of research findings into diagnostics, therapeutics, and vaccines. A multi-organ on chip approach is strongly encouraged though not required."
NIH - National Center for Advancing Translational Sciences (NCATS),Virginia Tech,https://www.grants.gov/web/grants/view-opportunity.html?oppId=326595,"There are various due dates for the different award types. Check the solicitation for specific due dates.
National Center for Advancing Translational Sciences (NCATS) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the 2019 novel Coronavirus (COVID-19). NCATS is particularly interested in projects focusing on the use of informatics solutions to diagnose cases and the use of CTSA-supported core resources (e.g., advanced scientific instruments, highly-specialized facilities, and regulatory expertise) to facilitate research on COVID-19 and advance the translation of research findings into diagnostics, therapeutics, and vaccines. NCATS is soliciting applications for Administrative Supplements to UL1, U01, and R21 awards (through PA-18-591), Collaborative Innovation Awards to U01 and R21 awards (through PAR-19-099 and PAR-19-100, respectively), and Competitive Revisions for UL1 awards for each of the non-administrative supplement awards (through PAR-19-337)."
NIH - National Center for Complementary and Integrative Health (NCCIH),Virginia Tech,https://www.xsede.org/covid19-hpc-consortium,"Applications will be accepted on a rolling basis through October 06, 2020.
National Center for Complementary and Integrative Health (NCCIH): is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the 2019 Novel Coronavirus (2019-nCoV, also known as COVID-19). Topics of specific interest for this NOSI include research on stress management strategies, including mind and body approaches, that individuals may engage in remotely to address stressors related to social distancing, as well as to address recovery and recurrence of symptoms during and after COVID-19 infections. To better understand the impact of stress management strategies in the context of the COVID-19 pandemic, NCCIH is encouraging the submission of applications for Administrative Supplements or Competitive Revisions to active grants. Applicants should propose research that can be completed remotely, without any in-person contact between study staff and research participants. Interventions proposed for study should already be fully developed and ready for immediate testing. For the areas of research interest please see notice."
NIH - National Institute of Allergy and Infectious Diseases (NIAID),Virginia Tech,https://www.zintellect.com/Opportunity/Details/FDA-CBER-2020-0035,Support the use of Collaborative Cross (CC) mouse lines to advance understanding of the host genetics involved in immune regulation and function and to further develop CC mouse lines that more faithfully reproduce human immune responses.
NIH - National Institute of Allergy and Infectious Diseases (NIAID),Virginia Tech,https://www.healtheffects.org/research/funding/rfa-20-1b-air-pollution-covid-19-and-human-health,"Applications will be accepted on a rolling basis, beginning on 04/30/2020.
The purpose of this Funding Opportunity Announcement (FOA) is to provide an expedited funding mechanism for research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and/or Coronavirus Disease 2019 (COVID-19). NIAID is issuing this FOA in response to the declared public health emergency issued by the Secretary, HHS, for 2019 Novel Coronavirus (COVID-19). See guidelines for areas of high priority."
NIH - National Institute of Allergy and Infectious Diseases (NIAID),Virginia Tech,https://blog.mozilla.org/blog/2020/03/31/moss-launches-covid-19-solutions-fund/,"Applications will be accepted on a rolling basis 07/02/2020 to 07/02/2021.
National Institute of Allergy and Infectious Diseases (NIAID) is issuing this Notice of Special Interest (NOSI) to highlight very specific and limited needs for Competitive Revision applications (PA-20-135) to active NIAID grants in order to further build the infrastructure that NIAID needs to support the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19) research response. This NOSI replaces NOT-AI-20-034 which was rescinded with this issuance of this Notice. See guidelines for research objectives."
NIH - National Institute of Biomedical Imaging and Bioengineering (NIBIB),Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/NOT-TR-20-016.html,"Applications will be accepted on a rolling basis through March 30, 2021.
The National Institute of Biomedical Imaging and Bioengineering (NIBIB) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for accelerating the development, translation, and commercialization of technologies to address Coronavirus Disease 2019 (COVID-19). The NIBIB is seeking applications from current grantees to develop life-saving technologies that can be ready for commercialization within one to two years. Please see notice for examples of technologies. R01 - PA-19-056 - NIH Research Project Grant (Parent R01 Clinical Trial Not Allowed) - 1st Due Date - June 5, 2020 R01 - PA-18-418 - NIBIB Research Project Grant (R01 Clinical Trial Required) - 1st Due Date - June 5, 2020 R01 - PAR-18-530 - Academic-Industrial Partnerships for Translation of Technologies for Diagnosis &Treatment (R01-Clinical Trial Optional) - 1st Due Date - June 5, 2020 R01 - PAR-20-155 - Academic-Industrial Partnerships (AIP) to Translate and Validate In Vivo Imaging Systems (R01 Clinical Trial Optional) - 1st Due Date - June 5, 2020 R21 - PAR-20-084 - NIBIB Trailblazer Award for New and Early Stage Investigators (R21 Clinical Trial Optional) - 1st Due Date - June 16, 2020 R21 - PAR-18-433 - NIBIB Exploratory/Developmental Research Grant Program (R21 Clinical Trial Optional) - 1st Due Date - June 16, 2020 R03 - PA-19-052 - NIH Small Research Grant Program (Parent R03 Clinical Trial Not Allowed) - 1st Due Date - June 16, 2020"
NIH - National Institute of Environmental Health Sciences (NIEHS),Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/NOT-TR-20-011.html,"Applications will be accepted on a rolling basis through May 4, 2021.
National Institute of Environmental Health Sciences (NIEHS) seeks to promote rapid understanding of the potential contributions of current and past exposure to environmental agents that may exacerbate COVID-19 susceptibility, disease severity, and progression. Examples of environmental exposures relevant to the NIEHS mission include: toxic chemicals, air pollutants, second hand tobacco smoke, e-cigarette vapors, metals, and other environmental chemical exposures that may impact health outcomes. In addition, some health outcomes that are linked to environmental exposures (asthma, diabetes, and other pulmonary, cardiovascular, and metabolic diseases) are also risk factors for COVID-19. NIEHS is accepting applications addressing COVID-19 through the administrative supplement (PA-18-591), urgent competitive revision (PA-18-935), and time-sensitive mechanisms (RFA-ES-19-011)."
NIH - National Institute of Health - Muliple divisions,Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/not-at-20-011.html,"This FOA has multiple due dates: August 20, 2020, December 2, 2020, March 2, 2021
This Funding Opportunity Announcement (FOA) aims to support research to strengthen the healthcare response to Coronavirus Disease 2019 (COVID-19) caused by the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and future public health emergencies, including pandemics. While research related to the direct clinical effects of COVID-19 are supported by other funding opportunities, the purpose of this funding opportunity is to focus on the role and impact of digital health interventions [e.g., mobile health (mhealth), telemedicine and telehealth, health information technology (IT), and wearable devices] to address access, reach, delivery, effectiveness, scalability and sustainability of health assessments and interventions for secondary effects (e.g., behavioral health or self-management of chronic conditions) that are utilized during and following the pandemic, particularly in populations who experience health disparities and vulnerable populations."
NIH - National Institute of Health - Muliple divisions,Virginia Tech,https://grants.nih.gov/grants/guide/pa-files/PAR-18-781.html,"The letter of intent due date is September 04, 2020. The first standard due date for this FOA is October 5, 2020.
The purpose of this Funding Opportunity Announcement (FOA) is to support investigative and collaborative research focused on understanding the long-term effects of natural and/or human-made disasters on health care systems serving health disparity populations in communities in the U.S., including the U.S. territories. NIH-designated health disparity populations include racial and ethnic minorities (Blacks/African Americans, Hispanics/Latinos, American Indians/Alaska Natives, Asians, Native Hawaiians and other Pacific Islanders), sexual and gender minorities, socioeconomically disadvantaged populations, and underserved rural populations."
NIH - National Institute of Health - Muliple divisions,Virginia Tech,https://grants.nih.gov/grants/guide/pa-files/PAR-20-177.html,"Applications may be submitted July 13, 2020, November 12, 2020, March 12, 2021, and July 12, 2021.
NIH is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19) in individuals with Down syndrome in conjunction with the INCLUDE (INvestigation of Co-occurring conditions across the Lifespan to Understand Down syndromE) Project. Because many people with Down syndrome are at increased risk of having co-occurring medical conditions, such as pulmonary disease, cardiac problems, obesity, diabetes, sleep apnea, and altered immune function that may predispose them to more severe infection with SARS-CoV-2, they may be particularly vulnerable to COVID-19 complications. Combined with shared living situations, and reduced access to testing and treatment services due to disparities in provision of resources, the impact of COVID-19 infection in people with Down syndrome is likely to be elevated. The overarching goal of this NOSI is to improve understanding and treatment of COVID-19 infection in individuals with Down syndrome and reduce COVID-19 associated morbidity and mortality for this population, which may be disproportionately affected by, have higher infection rates of, and/or be at elevated risk for adverse outcomes from contracting the virus."
NIH - National Institute of Health - Muliple divisions,Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-20-059.html,"Applications may be submitted beginning on July 8, 2020 for the Application Due Date on August 7, 2020.
This Notice of Special Interest (NOSI) highlights the urgent need to understand and address COVID-19 morbidity and mortality disparities among underserved and vulnerable populations across the United States. These two-year community-engaged Testing Research Projects will examine SARS-CoV-2 infection patterns and efforts to increase access and effectiveness of diagnostic methods through the Rapid Acceleration of Diagnostics for Underserved Populations (RADx-UP) initiative. The overarching goal is to understand factors that have led to disproportionate burden of the pandemic on these underserved populations so that interventions can be implemented to decrease these disparities."
NIH - National Institute of Health - Muliple divisions,Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/not-eb-20-007.html,"There are various due dates for the different award types. Check the solicitation for specific due dates.
The National Institutes of Health (NIH) hereby notify Principal Investigators holding specific types of NIH research grants, listed in the full Funding Opportunity Announcement (FOA) that funds may be available for competitive revisions to meet immediate needs to help address a specific public health crisis in a timely manner, but that were unforeseen when the new or renewal application or grant progress report for non-competing continuation support was submitted. Applications for Urgent Competitive Revisions will be routed directly to the NIH awarding component listed on the NoA of the most recent parent award."
NIH - National Institute on Deafness and Other Communication Disorders (NIDCD),Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/not-es-20-020.html,"This notice applies to due dates on or after October 5, 2020 and subsequent receipt dates through September 8, 2022.
Coronavirus Disease 2019 (COVID-19) is a recently emerged human disease caused by the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2). There is a paucity of data on the impact of SARS-CoV-2 on the sensory and communicative functions within the scientific mission areas of NIDCD. NIDCD invites applications for research on COVID-19 in relation to NIDCD’s scientific programs of hearing, balance, taste, smell, voice, speech and language (HBTSVSL). Given the early stage of COVID-19 research, it is critical that there is a strong premise for research proposals submitted in response to this NOSI. When appropriate, NIDCD encourages multi-disciplinary approaches to move the research beyond in vitro and animal models. See guidelines for areas of research."
"NIH - Office of The Director, National Institutes of Health (OD)",Virginia Tech,https://3dprint.nih.gov/collections/covid-19-response,"Estimated Publication Date of Funding Opportunity Announcement: July 17-31, 2020; First Estimated Application Due Date: September 2020
The purpose of this Notice is to alert the community that NIH plans to publish multiple Funding Opportunity Announcements (FOAs) as part of the Rapid Acceleration of Diagnostics - Radical (RADx-rad) initiative to support new, non-traditional approaches and new or non-traditional applications of existing approaches addressing current gaps in COVID-19 testing. The FOAs are expected to be published throughout July, and we will accept applications September 2020 for FY21 funding. The FOAs will be Requests for Applications (RFAs) for various grant mechanisms and Notices of Special Interest (NOSIs) for competitive revisions. The goal is to make awards by December 2020. This Notice is being provided to allow potential applicants additional time to develop responsive applications."
National Science Foundation (NSF),Virginia Tech,https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-20-020.html,"With this Dear Colleague Letter (DCL), the National Science Foundation (NSF) wishes to notify the community that research projects focused on pandemics are considered appropriate for the Civic Innovation Challenge (CIVIC; NSF 20-562), a research and action competition in the smart and connected communities (S&CC) domain. CIVIC is organized as a two-stage competition with two tracks. One track is centered onresilience to natural disasters and calls for research that equips communities with greater preparedness and resilience to natural disasters. The other track is centered on communities and mobility and calls for research that addresses better mobility options to solve the spatial mismatch between housing affordability and jobs, as well as associated mobility solutions thatcan increase access to critical services and amenities that foster healthy and thriving communities. While CIVIC was planned long in advance of the novel coronavirus 2019 (COVID-19) outbreak, today the world is focused on this pandemic. Given this reality, NSF is notifying the community of its interest in pandemics as an example of a disaster pursuant to the resilience track or as a possible consideration in framing the focus of the mobility track."
Robert Wood Johnson Foundation,Virginia Tech,https://grants.nih.gov/grants/guide/pa-files/PAR-20-243.html,"The submission deadline is August 05, 2020 at 3:00 pm ET. One page letter of intent is due 7/20/2020.
The need to identify successful system alignment strategies has become increasingly urgent in the wake of the SARS-CoV-2 virus pandemic that causes COVID-19. This pandemic places people with unmet health and social needs at heightened risk of infection and complications, while propagating unmet needs through job losses, school and business closures, occupational risks, and social distancing policies. This call for proposals (CFP) will provide supplemental research funding to teams that are already engaged in the study of a promising system alignment mechanism, with the objective of learning how this mechanism performs in addressing health and social needs during the COVID-19 pandemic. Eligible teams must have an active or recently completed research study (within 12 months of application submission) that can be extended through the use of supplemental research funding. This CFP is appropriate for studying an existing system alignment mechanism implemented prior to the arrival of the COVID-19 pandemic, and about which some pre-COVID evidence has already been created by the applicant. Studies funded through the S4A program must test a specific system alignment mechanism that engages all three of the sectors referenced in this call—medical care, public health, and social services."
Social Science Research Council (SSRC),Virginia Tech,https://grants.nih.gov/grants/guide/pa-files/PA-20-172.html,"The Social Science Research Council (SSRC), as part of its Just Tech program, seeks proposals from across the social sciences and related fields that address the risks, opportunities, and challenges posed by public health surveillance stemming from the Covid-19 pandemic. We specifically encourage proposals that interrogate the role the public and private sectors may play in mitigating or exacerbating the health crisis, the effects of which are already unevenly distributed."
Catherine (Kate) Calder,UT Austin,https://grants.nih.gov/grants/guide/notice-files/not-od-20-129.html,"Professor
Dr. Calder is generating systematic information on
differences in social distancing across social groups by
income, race/ethnicity and residential neighborhood. She
is also investigating why these differences exist. This
study, supported by the National Science Foundation
through a RAPID grant, will assist epidemiologists
modeling disease spread by providing realistic
assumptions regarding social distancing practices across
the population."
Can Cenik,UT Austin,https://grants.nih.gov/grants/guide/notice-files/not-md-20-022.html,"Assistant Professor
Dr. Cenik is an expert on translation control and has recently
developed a rapid assay that enables the measurement of
translation activity in a wide range of systems. His collaborator at
the University of Toronto, Prof. Fritz Roth, has generated
expression constructs of viral genes (NSP1, NSP2 and N) derived
from SARS-CoV-2 isolate Wuhan-Hu-1. Dr. Cenik will leverage these
resources along with his novel standardized assay for assessing
translation activity of host cells in presence of viral proteins. This
study may help to better understand the mechanism of
pathogenicity of SARS- CoV-2 virus, in particular, and will help
evaluate proposed drug targets for SARS-CoV2."
Zhengrong Cui,UT Austin,https://grants.nih.gov/grants/guide/notice-files/not-mh-20-053.html,"Professor
Dr. Cui will use his proprietary technology to develop
aerosolizable dry powder of i) a plasmid from a
sponsor showing activity against SARS-CoV-2 and ii)
two small molecules that are known to interrupt RNA
virus replication for potential prevention or treatment
of COVID-19."
Kevin Dalby,UT Austin,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-20-121.html,"Dr. Dalby recently developed a lead therapeutic (and several
Professor
derivatives) and screened it against the whole protein kinome. He
found that it targets three protein kinases (AAK1, Abl, and JAK) with
high selectivity and sub-nanomolar potency. The compound is a
derivative of the FDA-approved drug Nintedanib. Through his
studies, UT Austin holds a patent on this compound and derivatives.
He is currently investigating its activity in a range of mammalian cells
to further validate its potency towards the three kinases. In several
weeks, he will be in a position to assess the ability of this inhibitor
and derivatives on host cell entry by COVID-19 using replication-
defective VSV particles bearing coronavirus S proteins (Hoffmann, M.
et al.). He has approximately 0.5 g of material already made to beginpre-clinical in vivo studies."
Jaquelin Dudley,UT Austin,https://grants.nih.gov/grants/guide/pa-files/PA-18-935.html,"Professor
Dr. Dudley has been studying viruses, primarily retroviruses, since
1973. She has been teaching about animal viruses since 1983, has
served on NIH review panels on the pathogenesis of viruses, and is
the Associate Director of the LaMontagne Center for Infectious
Disease. Drs. Dudley and Shelley Payne are co-PIs on a grant to
identify Zika virus in biological samples. This project will be expanded
to include coronavirus detection, since the methods will be the
same. They will obtain inactivated coronovirus from the American
Type Culture Collection (ATCC), and it will be added to control
samples of blood, feces and urine to determine the sensitivity of
detection.  "
